onboarding_id,year,department,training,days_to_complete,due_days,status
ONB004804,2021,Nursing,Cybersecurity,11,21,Completed
ONB004805,2025,Business,FERPA,18,21,Completed
ONB004806,2023,Nursing,Cybersecurity,29,30,Completed
ONB004807,2023,STEM,Ethics,4,14,Completed
ONB004808,2022,Humanities,FERPA,34,30,Escalated
ONB004809,2021,Business,Ethics,8,14,Completed
ONB004810,2025,Business,Cybersecurity,6,21,Completed
ONB004811,2021,Education,Accessibility,10,14,Completed
ONB004812,2021,Nursing,FERPA,39,30,Escalated
ONB004813,2023,Business,FERPA,3,14,Completed
ONB004814,2022,Business,Title IX,15,21,Completed
ONB004815,2023,Humanities,Cybersecurity,31,14,Escalated
ONB004816,2024,Nursing,FERPA,10,14,Completed
ONB004817,2021,Humanities,Cybersecurity,17,30,Completed
ONB004818,2022,Humanities,Ethics,11,14,Completed
ONB004819,2022,Education,Ethics,3,30,Completed
ONB004820,2021,Business,Title IX,12,21,Completed
ONB004821,2023,Humanities,FERPA,22,21,Escalated
ONB004822,2021,Nursing,Accessibility,8,21,Completed
ONB004823,2022,Humanities,Ethics,9,14,Completed
ONB004824,2024,Education,Title IX,32,14,Escalated
ONB004825,2024,Business,Ethics,24,14,Late
ONB004826,2021,Business,Ethics,17,30,Completed
ONB004827,2021,STEM,Ethics,25,21,Escalated
ONB004828,2021,Nursing,FERPA,5,14,Completed
ONB004829,2021,Humanities,Title IX,8,21,Completed
ONB004830,2022,Education,FERPA,21,14,Late
ONB004831,2021,Nursing,Accessibility,7,21,Completed
ONB004832,2023,Education,FERPA,13,30,Completed
ONB004833,2022,Business,FERPA,13,30,Completed
ONB004834,2022,Education,FERPA,30,30,Completed
ONB004835,2025,STEM,FERPA,11,30,Completed
ONB004836,2021,Humanities,Title IX,31,21,Escalated
ONB004837,2024,Business,Accessibility,9,21,Completed
ONB004838,2024,Education,Accessibility,35,21,Escalated
ONB004839,2024,Humanities,Title IX,11,30,Completed
ONB004840,2024,Education,Accessibility,8,21,Completed
ONB004841,2022,Nursing,FERPA,21,30,Completed
ONB004842,2024,Business,FERPA,11,21,Completed
ONB004843,2024,Business,Cybersecurity,30,21,Escalated
ONB004844,2025,Education,Accessibility,18,21,Completed
ONB004845,2024,Education,FERPA,26,30,Completed
ONB004846,2024,Nursing,Title IX,4,21,Completed
ONB004847,2022,Education,Cybersecurity,37,30,Late
ONB004848,2021,Business,Cybersecurity,13,30,Completed
ONB004849,2021,Humanities,Title IX,38,21,Escalated
ONB004850,2022,Humanities,Cybersecurity,36,30,Escalated
ONB004851,2023,Education,FERPA,39,30,Late
ONB004852,2025,Business,Title IX,28,30,Completed
ONB004853,2025,Education,Ethics,22,21,Escalated
ONB004854,2025,STEM,FERPA,32,14,Escalated
ONB004855,2022,Humanities,FERPA,14,30,Completed
ONB004856,2025,Nursing,Title IX,29,14,Late
ONB004857,2024,Nursing,FERPA,24,14,Escalated
ONB004858,2022,Humanities,Title IX,28,21,Late
ONB004859,2025,Education,FERPA,36,14,Escalated
ONB004860,2024,STEM,Title IX,30,14,Escalated
ONB004861,2021,Nursing,Title IX,27,14,Late
ONB004862,2021,STEM,Title IX,23,30,Completed
ONB004863,2024,Business,Ethics,27,30,Completed
ONB004864,2024,Business,FERPA,27,21,Late
ONB004865,2024,Education,FERPA,34,30,Escalated
ONB004866,2022,Nursing,Cybersecurity,40,14,Late
ONB004867,2025,Nursing,Ethics,16,21,Completed
ONB004868,2024,Humanities,Title IX,21,14,Late
ONB004869,2021,Education,Title IX,13,30,Completed
ONB004870,2022,Nursing,Title IX,16,30,Completed
ONB004871,2025,Humanities,Accessibility,16,30,Completed
ONB004872,2021,Business,Cybersecurity,26,21,Escalated
ONB004873,2023,Nursing,Accessibility,8,21,Completed
ONB004874,2021,STEM,Ethics,20,14,Late
ONB004875,2022,Education,Ethics,14,14,Completed
ONB004876,2021,Nursing,Cybersecurity,33,30,Escalated
ONB004877,2024,Nursing,Cybersecurity,28,30,Completed
ONB004878,2025,Education,Ethics,39,14,Escalated
ONB004879,2021,Education,Ethics,9,14,Completed
ONB004880,2022,Humanities,Title IX,30,30,Completed
ONB004881,2025,Business,Title IX,23,30,Completed
ONB004882,2022,Humanities,FERPA,38,14,Late
ONB004883,2023,Education,Title IX,40,21,Late
ONB004884,2024,Nursing,Title IX,21,14,Late
ONB004885,2021,Humanities,Cybersecurity,35,30,Escalated
ONB004886,2025,Business,FERPA,25,21,Escalated
ONB004887,2024,Nursing,FERPA,13,30,Completed
ONB004888,2025,STEM,Title IX,31,30,Late
ONB004889,2022,Nursing,Cybersecurity,35,30,Escalated
ONB004890,2025,Humanities,FERPA,19,30,Completed
ONB004891,2025,STEM,FERPA,17,14,Escalated
ONB004892,2022,Humanities,Title IX,9,30,Completed
ONB004893,2023,Education,FERPA,24,30,Completed
ONB004894,2023,Education,Accessibility,25,14,Escalated
ONB004895,2023,Nursing,Title IX,35,30,Late
ONB004896,2025,Nursing,FERPA,40,30,Late
ONB004897,2022,Humanities,Cybersecurity,17,30,Completed
ONB004898,2024,Humanities,Title IX,9,21,Completed
ONB004899,2023,Education,Accessibility,16,21,Completed
ONB004900,2021,Education,Ethics,4,30,Completed
ONB004901,2024,Humanities,Ethics,34,14,Escalated
ONB004902,2022,STEM,Accessibility,26,21,Escalated
ONB004903,2023,Education,FERPA,4,14,Completed
ONB004904,2022,STEM,Ethics,25,21,Escalated
ONB004905,2022,Business,Accessibility,37,30,Late
ONB004906,2023,Education,Title IX,19,21,Completed
ONB004907,2021,Education,Ethics,30,30,Completed
ONB004908,2022,Business,Title IX,34,30,Escalated
ONB004909,2021,STEM,Ethics,4,21,Completed
ONB004910,2025,STEM,Cybersecurity,24,21,Escalated
ONB004911,2024,Education,Accessibility,12,30,Completed
ONB004912,2021,STEM,FERPA,10,14,Completed
ONB004913,2024,Nursing,FERPA,4,30,Completed
ONB004914,2025,Nursing,Ethics,34,14,Escalated
ONB004915,2021,Humanities,Ethics,10,30,Completed
ONB004916,2023,Education,Title IX,35,21,Escalated
ONB004917,2023,Education,Title IX,15,14,Late
ONB004918,2022,Nursing,Ethics,37,21,Late
ONB004919,2021,Nursing,Title IX,22,21,Escalated
ONB004920,2024,Education,Ethics,17,21,Completed
ONB004921,2021,STEM,FERPA,38,14,Escalated
ONB004922,2024,Nursing,Accessibility,21,14,Late
ONB004923,2024,Humanities,FERPA,35,21,Late
ONB004924,2022,Humanities,Accessibility,25,30,Completed
ONB004925,2024,STEM,Cybersecurity,6,30,Completed
ONB004926,2021,Humanities,Ethics,36,14,Late
ONB004927,2023,Nursing,Cybersecurity,22,21,Escalated
ONB004928,2024,Nursing,Title IX,4,30,Completed
ONB004929,2024,Business,Accessibility,32,14,Escalated
ONB004930,2022,Business,Title IX,20,30,Completed
ONB004931,2022,Nursing,Title IX,14,30,Completed
ONB004932,2021,Nursing,Ethics,25,14,Escalated
ONB004933,2025,Nursing,Accessibility,38,14,Late
ONB004934,2023,Humanities,Title IX,11,14,Completed
ONB004935,2023,Business,Ethics,36,14,Late
ONB004936,2025,Education,Cybersecurity,14,14,Completed
ONB004937,2023,Business,Accessibility,30,14,Late
ONB004938,2025,Education,Cybersecurity,8,30,Completed
ONB004939,2021,Education,Accessibility,26,21,Late
ONB004940,2025,Education,Title IX,15,30,Completed
ONB004941,2022,STEM,Ethics,30,14,Late
ONB004942,2024,Business,Cybersecurity,11,30,Completed
ONB004943,2024,Business,FERPA,27,14,Escalated
ONB004944,2021,Education,Ethics,15,30,Completed
ONB004945,2021,Humanities,Cybersecurity,18,30,Completed
ONB004946,2021,Nursing,FERPA,5,14,Completed
ONB004947,2021,Education,Cybersecurity,30,30,Completed
ONB004948,2024,STEM,Title IX,18,14,Late
ONB004949,2024,Business,Accessibility,38,30,Escalated
ONB004950,2025,Education,Title IX,18,21,Completed
ONB004951,2025,STEM,Title IX,25,14,Late
ONB004952,2021,Education,Title IX,37,21,Escalated
ONB004953,2024,Education,FERPA,26,14,Escalated
ONB004954,2021,Business,FERPA,15,30,Completed
ONB004955,2023,Humanities,FERPA,19,21,Completed
ONB004956,2021,Humanities,FERPA,22,21,Escalated
ONB004957,2025,Education,Ethics,4,14,Completed
ONB004958,2024,Humanities,Accessibility,14,21,Completed
ONB004959,2021,Business,Accessibility,30,21,Late
ONB004960,2022,STEM,Cybersecurity,26,14,Escalated
ONB004961,2025,Education,Title IX,7,30,Completed
ONB004962,2025,Humanities,Cybersecurity,39,14,Escalated
ONB004963,2025,Education,Title IX,7,14,Completed
ONB004964,2025,Nursing,Cybersecurity,21,21,Completed
ONB004965,2023,Business,Cybersecurity,31,14,Escalated
ONB004966,2022,Humanities,Accessibility,24,14,Late
ONB004967,2023,STEM,Cybersecurity,23,21,Escalated
ONB004968,2024,Business,Cybersecurity,4,30,Completed
ONB004969,2024,Education,Cybersecurity,7,30,Completed
ONB004970,2022,STEM,Ethics,30,21,Escalated
ONB004971,2021,Humanities,Accessibility,6,14,Completed
ONB004972,2022,Nursing,Cybersecurity,11,30,Completed
ONB004973,2024,Education,Accessibility,6,14,Completed
ONB004974,2022,STEM,FERPA,3,21,Completed
ONB004975,2025,Business,FERPA,10,14,Completed
ONB004976,2022,Humanities,FERPA,37,14,Late
ONB004977,2024,Education,Cybersecurity,30,21,Escalated
ONB004978,2022,Nursing,Cybersecurity,7,21,Completed
ONB004979,2021,STEM,Cybersecurity,9,14,Completed
ONB004980,2025,Humanities,Accessibility,23,14,Late
ONB004981,2021,Education,FERPA,25,30,Completed
ONB004982,2024,Education,Ethics,24,30,Completed
ONB004983,2023,Education,Ethics,21,21,Completed
ONB004984,2021,STEM,Cybersecurity,10,21,Completed
ONB004985,2025,Business,Title IX,31,14,Late
ONB004986,2023,Humanities,Accessibility,5,21,Completed
ONB004987,2022,Education,FERPA,21,14,Escalated
ONB004988,2025,Business,Title IX,13,30,Completed
ONB004989,2021,STEM,Accessibility,18,30,Completed
ONB004990,2024,Nursing,Ethics,18,21,Completed
ONB004991,2025,Business,Ethics,4,21,Completed
ONB004992,2024,Education,Title IX,9,30,Completed
ONB004993,2024,Humanities,Accessibility,13,21,Completed
ONB004994,2022,STEM,Accessibility,14,21,Completed
ONB004995,2021,STEM,Title IX,40,21,Late
ONB004996,2022,Business,FERPA,31,14,Escalated
ONB004997,2022,STEM,Accessibility,7,30,Completed
ONB004998,2023,Nursing,Title IX,26,14,Late
ONB004999,2025,Humanities,Ethics,6,14,Completed
ONB005000,2024,Humanities,Cybersecurity,22,14,Escalated
ONB005001,2024,Nursing,Ethics,25,21,Late
ONB005002,2022,STEM,Accessibility,19,30,Completed
ONB005003,2023,Education,Cybersecurity,22,14,Escalated
ONB005004,2021,Humanities,Accessibility,37,21,Escalated
ONB005005,2025,Business,FERPA,29,30,Completed
ONB005006,2023,Education,Accessibility,32,30,Escalated
ONB005007,2024,STEM,FERPA,15,14,Late
ONB005008,2022,Education,FERPA,35,14,Escalated
ONB005009,2021,Humanities,Accessibility,31,21,Late
ONB005010,2021,Humanities,Cybersecurity,30,21,Late
ONB005011,2023,Education,Ethics,27,21,Late
ONB005012,2024,Nursing,Ethics,22,14,Late
ONB005013,2024,STEM,Title IX,28,14,Late
ONB005014,2022,Humanities,Ethics,14,21,Completed
ONB005015,2021,STEM,FERPA,24,14,Escalated
ONB005016,2022,STEM,Title IX,22,30,Completed
ONB005017,2024,STEM,Cybersecurity,8,21,Completed
ONB005018,2023,Nursing,Accessibility,19,30,Completed
ONB005019,2022,Business,Title IX,34,30,Late
ONB005020,2024,Humanities,Ethics,22,30,Completed
ONB005021,2021,STEM,Cybersecurity,16,14,Escalated
ONB005022,2021,Business,Title IX,33,21,Late
ONB005023,2022,Business,Title IX,23,30,Completed
ONB005024,2025,Education,Cybersecurity,26,21,Escalated
ONB005025,2024,Nursing,Cybersecurity,40,14,Late
ONB005026,2022,Humanities,Title IX,8,14,Completed
ONB005027,2022,STEM,Title IX,39,14,Late
ONB005028,2025,Nursing,Cybersecurity,19,30,Completed
ONB005029,2021,Nursing,Title IX,29,21,Late
ONB005030,2025,Humanities,Accessibility,20,21,Completed
ONB005031,2022,Business,Accessibility,21,30,Completed
ONB005032,2025,Humanities,Title IX,7,14,Completed
ONB005033,2022,STEM,Cybersecurity,28,30,Completed
ONB005034,2025,Humanities,FERPA,40,14,Late
ONB005035,2021,Humanities,Cybersecurity,39,21,Late
ONB005036,2024,Education,Cybersecurity,31,30,Late
ONB005037,2021,Education,Title IX,4,14,Completed
ONB005038,2024,Business,Title IX,38,14,Escalated
ONB005039,2024,Humanities,FERPA,8,14,Completed
ONB005040,2025,Humanities,Cybersecurity,29,30,Completed
ONB005041,2025,STEM,FERPA,27,21,Escalated
ONB005042,2024,Business,Accessibility,25,30,Completed
ONB005043,2022,Humanities,Cybersecurity,21,14,Late
ONB005044,2021,Education,FERPA,39,21,Escalated
ONB005045,2022,STEM,FERPA,5,21,Completed
ONB005046,2024,Humanities,FERPA,36,21,Escalated
ONB005047,2023,Nursing,Ethics,29,30,Completed
ONB005048,2025,Nursing,Cybersecurity,36,30,Escalated
ONB005049,2025,STEM,Accessibility,19,30,Completed
ONB005050,2021,Humanities,FERPA,33,30,Escalated
ONB005051,2023,STEM,Accessibility,26,30,Completed
ONB005052,2025,Business,Ethics,21,30,Completed
ONB005053,2022,Nursing,Ethics,17,30,Completed
ONB005054,2021,STEM,Ethics,18,21,Completed
ONB005055,2024,Education,Title IX,5,30,Completed
ONB005056,2023,Nursing,Ethics,16,30,Completed
ONB005057,2021,Education,Accessibility,3,30,Completed
ONB005058,2024,Education,Title IX,40,21,Escalated
ONB005059,2021,Education,Cybersecurity,29,21,Escalated
ONB005060,2021,Business,Accessibility,10,14,Completed
ONB005061,2025,Business,FERPA,26,30,Completed
ONB005062,2021,Humanities,Title IX,37,30,Late
ONB005063,2025,Education,Title IX,37,30,Escalated
ONB005064,2023,Business,FERPA,28,14,Late
ONB005065,2022,Humanities,Ethics,24,14,Escalated
ONB005066,2022,Education,Title IX,30,30,Completed
ONB005067,2025,Humanities,Accessibility,15,21,Completed
ONB005068,2021,Humanities,Title IX,28,30,Completed
ONB005069,2024,Business,Cybersecurity,21,30,Completed
ONB005070,2023,Nursing,Ethics,34,30,Escalated
ONB005071,2024,Humanities,Accessibility,29,30,Completed
ONB005072,2023,STEM,Title IX,18,30,Completed
ONB005073,2024,Business,Ethics,17,14,Late
ONB005074,2023,Education,FERPA,35,21,Late
ONB005075,2022,Business,Cybersecurity,23,21,Late
ONB005076,2025,Education,Cybersecurity,24,30,Completed
ONB005077,2025,Humanities,Title IX,21,14,Late
ONB005078,2024,Nursing,Accessibility,18,30,Completed
ONB005079,2024,Nursing,Accessibility,25,14,Escalated
ONB005080,2023,STEM,FERPA,15,21,Completed
ONB005081,2025,STEM,Accessibility,7,21,Completed
ONB005082,2024,Education,Ethics,20,21,Completed
ONB005083,2025,Education,Accessibility,13,14,Completed
ONB005084,2025,Humanities,Accessibility,11,14,Completed
ONB005085,2022,Business,Ethics,35,14,Escalated
ONB005086,2024,Education,Cybersecurity,33,21,Escalated
ONB005087,2021,Business,Cybersecurity,24,21,Escalated
ONB005088,2025,Nursing,Cybersecurity,11,30,Completed
ONB005089,2021,STEM,FERPA,10,21,Completed
ONB005090,2021,Education,Cybersecurity,12,14,Completed
ONB005091,2022,Nursing,Title IX,7,21,Completed
ONB005092,2022,Humanities,Accessibility,11,30,Completed
ONB005093,2021,Nursing,Ethics,10,14,Completed
ONB005094,2025,Education,Title IX,5,21,Completed
ONB005095,2022,Humanities,Title IX,35,30,Escalated
ONB005096,2023,Humanities,Ethics,16,14,Late
ONB005097,2022,Education,Accessibility,13,14,Completed
ONB005098,2021,Business,Ethics,36,21,Escalated
ONB005099,2023,Nursing,Ethics,8,21,Completed
ONB005100,2025,STEM,FERPA,3,30,Completed
ONB005101,2022,STEM,Accessibility,10,21,Completed
ONB005102,2022,STEM,Ethics,26,21,Late
ONB005103,2025,STEM,Cybersecurity,16,30,Completed
ONB005104,2021,Business,FERPA,18,21,Completed
ONB005105,2025,Nursing,Title IX,5,14,Completed
ONB005106,2024,Education,Cybersecurity,26,21,Escalated
ONB005107,2024,Nursing,Title IX,28,14,Escalated
ONB005108,2024,Nursing,Accessibility,36,14,Escalated
ONB005109,2021,STEM,Title IX,34,30,Late
ONB005110,2023,Education,FERPA,9,30,Completed
ONB005111,2024,Nursing,Cybersecurity,37,30,Escalated
ONB005112,2022,Nursing,Title IX,39,21,Escalated
ONB005113,2021,Nursing,Title IX,39,30,Escalated
ONB005114,2024,STEM,FERPA,29,21,Escalated
ONB005115,2022,Humanities,Title IX,32,14,Escalated
ONB005116,2024,STEM,Ethics,35,14,Escalated
ONB005117,2022,STEM,FERPA,37,30,Late
ONB005118,2021,Education,FERPA,11,30,Completed
ONB005119,2023,Education,Accessibility,21,30,Completed
ONB005120,2023,Humanities,Accessibility,32,30,Escalated
ONB005121,2025,Nursing,Ethics,22,21,Escalated
ONB005122,2022,Nursing,Accessibility,13,30,Completed
ONB005123,2025,Education,Cybersecurity,20,14,Escalated
ONB005124,2025,Humanities,Title IX,28,14,Escalated
ONB005125,2023,Humanities,Ethics,13,30,Completed
ONB005126,2024,Business,Cybersecurity,22,30,Completed
ONB005127,2025,Business,Ethics,21,21,Completed
ONB005128,2024,Business,Accessibility,38,14,Escalated
ONB005129,2024,STEM,Title IX,23,14,Late
ONB005130,2023,Education,Cybersecurity,20,30,Completed
ONB005131,2022,STEM,Cybersecurity,27,14,Escalated
ONB005132,2021,Business,Title IX,40,30,Late
ONB005133,2021,Nursing,Accessibility,28,30,Completed
ONB005134,2022,Business,Title IX,15,14,Escalated
ONB005135,2022,Education,Ethics,23,21,Escalated
ONB005136,2024,Nursing,Cybersecurity,30,30,Completed
ONB005137,2024,Nursing,Title IX,20,21,Completed
ONB005138,2022,STEM,Ethics,3,30,Completed
ONB005139,2024,STEM,FERPA,40,21,Late
ONB005140,2021,Nursing,Cybersecurity,10,14,Completed
ONB005141,2025,Nursing,Accessibility,10,14,Completed
ONB005142,2025,Education,Accessibility,29,30,Completed
ONB005143,2025,Education,Cybersecurity,11,21,Completed
ONB005144,2021,STEM,Accessibility,29,30,Completed
ONB005145,2023,Nursing,Title IX,23,21,Escalated
ONB005146,2024,Humanities,FERPA,30,14,Escalated
ONB005147,2025,Nursing,Cybersecurity,38,30,Late
ONB005148,2023,Humanities,Cybersecurity,16,21,Completed
ONB005149,2022,Business,Ethics,9,21,Completed
ONB005150,2024,Business,Title IX,29,30,Completed
ONB005151,2025,Nursing,Ethics,31,30,Escalated
ONB005152,2023,Nursing,Cybersecurity,13,21,Completed
ONB005153,2023,Education,Ethics,20,21,Completed
ONB005154,2023,Education,Title IX,28,21,Late
ONB005155,2023,Humanities,Cybersecurity,9,21,Completed
ONB005156,2022,Business,Title IX,24,14,Late
ONB005157,2021,STEM,Ethics,7,30,Completed
ONB005158,2025,STEM,FERPA,31,14,Late
ONB005159,2021,Humanities,Title IX,17,14,Escalated
ONB005160,2025,Nursing,Ethics,33,21,Escalated
ONB005161,2022,STEM,FERPA,36,14,Late
ONB005162,2023,STEM,Ethics,12,14,Completed
ONB005163,2025,Humanities,Cybersecurity,22,30,Completed
ONB005164,2024,Education,Ethics,36,30,Late
ONB005165,2025,STEM,Cybersecurity,8,14,Completed
ONB005166,2021,Humanities,Accessibility,4,14,Completed
ONB005167,2022,Humanities,FERPA,22,21,Escalated
ONB005168,2025,Humanities,Title IX,13,21,Completed
ONB005169,2023,Education,Cybersecurity,38,14,Escalated
ONB005170,2024,Business,Ethics,12,30,Completed
ONB005171,2022,Education,Cybersecurity,38,30,Late
ONB005172,2025,Humanities,Accessibility,38,21,Escalated
ONB005173,2022,Business,Title IX,18,30,Completed
ONB005174,2023,Education,Accessibility,22,30,Completed
ONB005175,2022,Education,Ethics,15,30,Completed
ONB005176,2021,STEM,Accessibility,20,21,Completed
ONB005177,2021,Nursing,FERPA,37,30,Escalated
ONB005178,2021,Humanities,Cybersecurity,10,14,Completed
ONB005179,2024,Education,Title IX,40,21,Escalated
ONB005180,2021,Humanities,FERPA,23,21,Late
ONB005181,2021,Humanities,Accessibility,12,21,Completed
ONB005182,2023,Education,Ethics,32,21,Escalated
ONB005183,2024,Business,Ethics,27,30,Completed
ONB005184,2021,Education,Cybersecurity,11,30,Completed
ONB005185,2023,Nursing,FERPA,6,14,Completed
ONB005186,2025,STEM,FERPA,16,21,Completed
ONB005187,2022,Education,Title IX,31,30,Escalated
ONB005188,2022,STEM,Ethics,9,30,Completed
ONB005189,2022,STEM,FERPA,29,30,Completed
ONB005190,2022,Nursing,Title IX,40,14,Escalated
ONB005191,2024,Humanities,Title IX,28,30,Completed
ONB005192,2022,Business,Title IX,10,14,Completed
ONB005193,2021,Business,FERPA,7,14,Completed
ONB005194,2021,Nursing,Cybersecurity,12,21,Completed
ONB005195,2022,Nursing,Accessibility,31,30,Escalated
ONB005196,2024,Humanities,Accessibility,39,14,Escalated
ONB005197,2023,Education,FERPA,7,30,Completed
ONB005198,2021,Education,Cybersecurity,22,14,Late
ONB005199,2021,Humanities,FERPA,23,14,Escalated
ONB005200,2022,Humanities,Title IX,29,30,Completed
ONB005201,2025,Humanities,Cybersecurity,26,30,Completed
ONB005202,2023,Nursing,Ethics,34,21,Late
ONB005203,2024,STEM,Cybersecurity,21,14,Escalated
ONB005204,2023,Business,FERPA,23,30,Completed
ONB005205,2023,Education,Ethics,20,30,Completed
ONB005206,2021,Humanities,Ethics,34,14,Late
ONB005207,2023,STEM,Accessibility,11,30,Completed
ONB005208,2021,Business,Ethics,15,21,Completed
ONB005209,2025,Nursing,Title IX,19,21,Completed
ONB005210,2021,Business,Cybersecurity,10,21,Completed
ONB005211,2021,Business,Ethics,34,21,Escalated
ONB005212,2022,Nursing,Title IX,19,14,Escalated
ONB005213,2021,Nursing,Accessibility,36,21,Escalated
ONB005214,2024,STEM,Cybersecurity,21,14,Late
ONB005215,2023,Nursing,Cybersecurity,28,14,Escalated
ONB005216,2024,Education,Title IX,12,30,Completed
ONB005217,2021,Education,FERPA,22,14,Late
ONB005218,2022,STEM,Title IX,31,30,Late
ONB005219,2022,Nursing,FERPA,29,21,Late
ONB005220,2023,Business,FERPA,31,21,Escalated
ONB005221,2021,Humanities,Accessibility,21,21,Completed
ONB005222,2024,STEM,Accessibility,7,30,Completed
ONB005223,2023,Humanities,Ethics,26,21,Late
ONB005224,2024,Education,Ethics,19,21,Completed
ONB005225,2022,Business,Cybersecurity,22,30,Completed
ONB005226,2023,Humanities,Title IX,3,30,Completed
ONB005227,2025,Humanities,FERPA,33,30,Escalated
ONB005228,2021,Nursing,Accessibility,36,30,Late
ONB005229,2024,Business,Cybersecurity,34,21,Late
ONB005230,2025,Nursing,Title IX,19,14,Late
ONB005231,2025,Education,Ethics,37,30,Escalated
ONB005232,2022,Business,Title IX,10,30,Completed
ONB005233,2024,Nursing,Cybersecurity,23,30,Completed
ONB005234,2021,Humanities,Accessibility,31,21,Escalated
ONB005235,2023,Humanities,Cybersecurity,36,14,Escalated
ONB005236,2023,Nursing,FERPA,30,21,Late
ONB005237,2025,Nursing,FERPA,13,14,Completed
ONB005238,2021,Education,FERPA,23,30,Completed
ONB005239,2025,Education,FERPA,38,21,Late
ONB005240,2022,Humanities,FERPA,15,21,Completed
ONB005241,2021,Humanities,Cybersecurity,25,30,Completed
ONB005242,2025,Nursing,Title IX,22,30,Completed
ONB005243,2021,Education,Accessibility,39,30,Late
ONB005244,2021,Nursing,Title IX,29,21,Late
ONB005245,2024,Business,Ethics,7,21,Completed
ONB005246,2021,Business,Title IX,34,21,Escalated
ONB005247,2021,Business,Cybersecurity,36,21,Escalated
ONB005248,2024,Education,Accessibility,22,14,Late
ONB005249,2022,STEM,FERPA,35,14,Escalated
ONB005250,2022,Nursing,Cybersecurity,32,30,Escalated
ONB005251,2025,STEM,Accessibility,22,14,Escalated
ONB005252,2022,Nursing,Cybersecurity,4,30,Completed
ONB005253,2021,Nursing,Ethics,23,21,Escalated
ONB005254,2021,Business,Ethics,33,21,Late
ONB005255,2024,Nursing,Title IX,29,14,Escalated
ONB005256,2023,STEM,Accessibility,4,30,Completed
ONB005257,2023,Nursing,Ethics,30,14,Late
ONB005258,2021,STEM,Ethics,39,21,Late
ONB005259,2024,Business,Title IX,7,14,Completed
ONB005260,2022,Education,Title IX,31,30,Late
ONB005261,2025,STEM,Title IX,39,14,Escalated
ONB005262,2021,Humanities,Accessibility,36,30,Escalated
ONB005263,2023,STEM,Cybersecurity,3,14,Completed
ONB005264,2021,Nursing,Accessibility,26,14,Late
ONB005265,2022,Humanities,Cybersecurity,10,30,Completed
ONB005266,2023,Nursing,Ethics,37,21,Escalated
ONB005267,2024,STEM,Accessibility,11,30,Completed
ONB005268,2023,Education,Cybersecurity,25,30,Completed
ONB005269,2022,Humanities,Cybersecurity,8,21,Completed
ONB005270,2025,Humanities,Ethics,27,14,Late
ONB005271,2025,Humanities,Cybersecurity,8,21,Completed
ONB005272,2022,STEM,FERPA,35,14,Escalated
ONB005273,2025,Nursing,Cybersecurity,34,21,Escalated
ONB005274,2021,STEM,Ethics,13,30,Completed
ONB005275,2024,Nursing,Accessibility,39,21,Late
ONB005276,2024,Humanities,Title IX,11,30,Completed
ONB005277,2023,Education,FERPA,16,30,Completed
ONB005278,2023,Humanities,Accessibility,11,30,Completed
ONB005279,2021,STEM,Accessibility,40,30,Escalated
ONB005280,2025,Humanities,Title IX,22,30,Completed
ONB005281,2021,Business,Ethics,9,14,Completed
ONB005282,2024,Education,FERPA,32,21,Escalated
ONB005283,2024,STEM,Ethics,7,14,Completed
ONB005284,2023,Nursing,Ethics,21,14,Escalated
ONB005285,2022,Nursing,Accessibility,23,30,Completed
ONB005286,2021,STEM,Ethics,28,30,Completed
ONB005287,2023,Education,Accessibility,23,14,Escalated
ONB005288,2021,Humanities,Accessibility,7,30,Completed
ONB005289,2025,Business,Cybersecurity,34,30,Late
ONB005290,2022,Education,Cybersecurity,23,14,Late
ONB005291,2024,STEM,Cybersecurity,16,14,Escalated
ONB005292,2022,Humanities,Ethics,11,14,Completed
ONB005293,2023,Business,Ethics,27,30,Completed
ONB005294,2025,Business,Cybersecurity,11,30,Completed
ONB005295,2023,Humanities,Ethics,23,21,Escalated
ONB005296,2021,STEM,FERPA,39,21,Escalated
ONB005297,2024,Humanities,Title IX,35,21,Late
ONB005298,2021,Nursing,Ethics,22,30,Completed
ONB005299,2024,Business,Cybersecurity,24,30,Completed
ONB005300,2023,Humanities,Accessibility,8,30,Completed
ONB005301,2025,Nursing,Title IX,25,21,Escalated
ONB005302,2021,Humanities,FERPA,18,30,Completed
ONB005303,2024,Business,Title IX,30,14,Escalated
ONB005304,2024,STEM,Title IX,6,21,Completed
ONB005305,2025,Nursing,Accessibility,17,30,Completed
ONB005306,2024,Education,Accessibility,8,30,Completed
ONB005307,2025,STEM,Accessibility,14,14,Completed
ONB005308,2023,Business,Title IX,35,30,Escalated
ONB005309,2025,Humanities,Accessibility,33,30,Late
ONB005310,2022,STEM,Title IX,35,14,Late
ONB005311,2021,Education,Ethics,33,21,Late
ONB005312,2022,STEM,Title IX,3,14,Completed
ONB005313,2022,Business,Ethics,28,14,Escalated
ONB005314,2024,STEM,FERPA,16,21,Completed
ONB005315,2022,STEM,Cybersecurity,40,21,Escalated
ONB005316,2025,Humanities,Cybersecurity,5,30,Completed
ONB005317,2025,STEM,FERPA,16,30,Completed
ONB005318,2021,Nursing,FERPA,9,14,Completed
ONB005319,2022,Nursing,FERPA,29,14,Late
ONB005320,2024,Humanities,Accessibility,15,14,Escalated
ONB005321,2025,Humanities,FERPA,25,14,Late
ONB005322,2024,Education,Cybersecurity,17,30,Completed
